article,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Forside,1,1622505600000,1218381,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Christian_Eriksen,2,1622505600000,190528,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Speciel:Søgning,3,1622505600000,90329,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Carles_Puigdemont,4,1622505600000,65333,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Europamesterskab_(fodbold),5,1622505600000,65258,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Europamesterskabet_i_fodbold_2020,6,1622505600000,60343,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Kasper_Hjulmand,7,1622505600000,59297,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Mikkel_Damsgaard,8,1622505600000,58600,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Danmarks_fodboldlandshold,9,1622505600000,51427,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Joakim_Mæhle,10,1622505600000,51393,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Francis_Dickoh,11,1622505600000,47382,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Simon_Kjær,12,1622505600000,36605,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Sankthans,13,1622505600000,36109,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Cristiano_Ronaldo,14,1622505600000,35950,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
"Paradise_Hotel_(Danmark,_sæson_17)",15,1622505600000,35832,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
VM_i_fodbold,16,1622505600000,35335,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Peter_Schmeichel,17,1622505600000,35075,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Tour_de_France_2021,18,1622505600000,34197,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Kasper_Dolberg,19,1622505600000,33517,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Kasper_Schmeichel,20,1622505600000,30906,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Martin_Braithwaite,21,1622505600000,30162,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Poul_Schlüter,22,1622505600000,28470,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Speciel:Seneste_ændringer,23,1622505600000,28201,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Yussuf_Poulsen,24,1622505600000,26173,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Stjernetegn,25,1622505600000,24928,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Europamesterskabet_i_fodbold_1992,26,1622505600000,24285,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Danmarks_fodboldlandsholdsspillere,27,1622505600000,23074,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Michael_Laudrup,28,1622505600000,22648,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Josefine_Høgh,29,1622505600000,22609,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Aserbajdsjan,30,1622505600000,21733,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Nationale_kendingsbogstaver_(biler),31,1622505600000,21071,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Re-Sepp-ten,32,1622505600000,20924,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Grundlovsdag,33,1622505600000,20507,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
FIFA's_verdensrangliste,34,1622505600000,20282,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Danmark,35,1622505600000,20071,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Lukas_Graham,36,1622505600000,19748,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
John_Mogensen,37,1622505600000,19662,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Brian_Laudrup,38,1622505600000,18833,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Pierre_Emile_Højbjerg,39,1622505600000,18363,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Flemming_Povlsen,40,1622505600000,18150,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
EM-holdet_1992,41,1622505600000,18139,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Baku,42,1622505600000,17160,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Europamesterskabet_i_fodbold_2016,43,1622505600000,17033,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Nicki_Bille_Nielsen,44,1622505600000,16356,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
VM_i_fodbold_2018,45,1622505600000,16281,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Louise_Eriksen,46,1622505600000,15694,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Drengene_fra_Sankt_Petri,47,1622505600000,15346,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Wales,48,1622505600000,15194,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Lukas_Forchhammer,49,1622505600000,15116,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Thomas_Delaney,50,1622505600000,14295,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Måneskin_(band),51,1622505600000,13742,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Lasse_Sjørslev,52,1622505600000,13650,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Valdemarsdag,53,1622505600000,13220,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Lars_Høgh,54,1622505600000,12943,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Naum_Conevski,55,1622505600000,12909,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Morten_Bruun,56,1622505600000,12540,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Romelu_Lukaku,57,1622505600000,12444,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Margrethe_2.,58,1622505600000,12187,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Lily_Weiding,59,1622505600000,12017,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Andreas_Christensen,60,1622505600000,11875,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Mathias_Jensen,61,1622505600000,11737,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Bee_Gees,62,1622505600000,11621,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Andreas_Cornelius,63,1622505600000,11618,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Bryllupsdag,64,1622505600000,11277,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Richard_Møller_Nielsen,65,1622505600000,10955,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Europa,66,1622505600000,10857,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Anne_Marie_Vessel_Schlüter,67,1622505600000,10844,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Jens_Stryger_Larsen,68,1622505600000,10746,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Kleopatra_7.,69,1622505600000,10326,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Zlatan_Ibrahimović,70,1622505600000,10111,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Thorvald_Dreyer,71,1622505600000,10098,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Four_Jacks,72,1622505600000,10039,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Parken,73,1622505600000,9750,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Angrebet_på_Pearl_Harbor,74,1622505600000,9748,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Nicklas_Bendtner,75,1622505600000,9503,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Kim_Vilfort,76,1622505600000,9447,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Preben_Elkjær,77,1622505600000,9285,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Europamesterskabet_i_fodbold_1992_-_Finalen,78,1622505600000,9232,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Lionel_Messi,79,1622505600000,9198,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Danmarks_største_byer,80,1622505600000,9158,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Mette_Frederiksen,81,1622505600000,9064,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Arnela_Muminović,82,1622505600000,8726,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Ballon_d'Or,83,1622505600000,8694,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Nordmakedonien,84,1622505600000,8658,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Paradise_Hotel_(Danmark),85,1622505600000,8549,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Offside,86,1622505600000,8163,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
"John_""Faxe""_Jensen",87,1622505600000,8130,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
