article,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Main_Page,1,1730419200000,141062445,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Special:Search,2,1730419200000,72668203,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Wikipedia:Featured_pictures,3,1730419200000,20491710,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
2024_United_States_presidential_election,4,1730419200000,13677202,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
2020_United_States_presidential_election,5,1730419200000,9319535,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Donald_Trump,6,1730419200000,8100359,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Mike_Tyson,7,1730419200000,5173007,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Pete_Hegseth,8,1730419200000,4876124,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
2016_United_States_presidential_election,9,1730419200000,4734673,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Jake_Paul_vs._Mike_Tyson,10,1730419200000,4644486,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Jake_Paul,11,1730419200000,4573642,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Gladiator_II,12,1730419200000,4433926,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Kamala_Harris,13,1730419200000,4428332,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Wicked_(2024_film),14,1730419200000,4405945,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Elon_Musk,15,1730419200000,4294171,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Deaths_in_2024,16,1730419200000,4218768,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Matt_Gaetz,17,1730419200000,3995661,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Wicked_(musical),18,1730419200000,3656588,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
JD_Vance,19,1730419200000,3443152,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Cleopatra,20,1730419200000,3419956,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Tulsi_Gabbard,21,1730419200000,3255895,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
Bhool_Bhulaiyaa_3,22,1730419200000,3243401,2024-11-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
